PortNumber,AccNumber,LocNumber,CountryCode,LocPerilsCovered,LocCurrency,AreaCode,AreaName,GeogScheme1,GeogName1,Latitude,Longitude,BuildingTIV,ConstructionCode,OccupancyCode,LocDed1Building,DedCode1Building,DedType1Building,LocLimit1Building,LimitType1Building,OrgConstructionScheme,OrgConstructionCode,OrgOccupancyScheme,OrgOccupancyCode
1,A0001,LOC00012,US,WTC,USD,FL,Florida,CNTY,Monroe,24.6583,-80.8425,209604,5100,1051,20960,0,0,209604,0,MODEL,Masonry,MODEL,Single Family
1,A0001,LOC00013,US,WTC,USD,FL,Florida,CNTY,Pinellas,27.9444,-82.6511,2363160,5100,1051,118158,0,0,2363160,0,MODEL,Masonry,MODEL,Single Family
1,A0001,LOC00014,US,WTC,USD,FL,Florida,CNTY,Collier,26.1463,-81.5829,323259,5100,1051,16163,0,0,323259,0,MODEL,Masonry,MODEL,Single Family
1,A0001,LOC00015,US,WTC,USD,FL,Florida,CNTY,Palm Beach,26.4969,-80.256,1260986,5150,1051,63049,0,0,1260986,0,MODEL,Reinforced Concrete,MODEL,Single Family
1,A0001,LOC00016,US,WTC,USD,FL,Florida,CNTY,Broward,26.1729,-80.2969,295980,5050,1051,29598,0,0,295980,0,MODEL,Wood Frame,MODEL,Single Family
1,A0001,LOC00017,US,WTC,USD,FL,Florida,CNTY,Lee,26.6236,-81.9252,432261,5100,1051,43226,0,0,432261,0,MODEL,Masonry,MODEL,Single Family
1,A0001,LOC00018,US,WTC,USD,FL,Florida,CNTY,Miami-Dade,25.6474,-80.4786,115937,5050,1051,11594,0,0,115937,0,MODEL,Wood Frame,MODEL,Single Family
1,A0001,LOC00019,US,WTC,USD,FL,Florida,CNTY,Collier,26.1632,-81.629,240074,5100,1051,12004,0,0,240074,0,MODEL,Masonry,MODEL,Single Family
1,A0001,LOC00020,US,WTC,USD,FL,Florida,CNTY,Pinellas,27.7596,-82.6802,415067,5100,1051,8301,0,0,415067,0,MODEL,Masonry,MODEL,Single Family
1,A0001,LOC00021,US,WTC,USD,FL,Florida,CNTY,Hillsborough,27.9831,-82.3767,1304524,5050,1051,65226,0,0,1304524,0,MODEL,Wood Frame,MODEL,Single Family
1,A0001,LOC00022,US,WTC,USD,FL,Florida,CNTY,Broward,26.1197,-80.3806,419042,5100,1055,8381,0,0,419042,0,MODEL,Masonry,MODEL,Condo
1,A0001,LOC00023,US,WTC,USD,FL,Florida,CNTY,Monroe,24.7517,-81.136,1102330,5100,1051,22047,0,0,1102330,0,MODEL,Masonry,MODEL,Single Family
1,A0001,LOC00024,US,WTC,USD,FL,Florida,CNTY,Collier,26.1871,-81.5609,593835,5050,1051,29692,0,0,593835,0,MODEL,Wood Frame,MODEL,Single Family
1,A0001,LOC00025,US,WTC,USD,FL,Florida,CNTY,Hillsborough,28.0979,-82.2455,1350269,5350,1051,67513,0,0,1350269,0,MODEL,Manufactured,MODEL,Mobile Home
1,A0001,LOC00026,US,WTC,USD,FL,Florida,CNTY,Miami-Dade,25.7894,-80.3768,331624,5150,1051,33162,0,0,331624,0,MODEL,Reinforced Concrete,MODEL,Single Family
1,A0001,LOC00027,US,WTC,USD,FL,Florida,CNTY,Palm Beach,26.7815,-80.1035,2548219,5100,1051,127411,0,0,2548219,0,MODEL,Masonry,MODEL,Single Family
1,A0001,LOC00028,US,WTC,USD,FL,Florida,CNTY,Miami-Dade,25.599,-80.3912,232535,5100,1051,23254,0,0,232535,0,MODEL,Masonry,MODEL,Single Family
1,A0001,LOC00029,US,WTC,USD,FL,Florida,CNTY,Miami-Dade,25.6453,-80.3608,184019,5100,1051,9201,0,0,184019,0,MODEL,Masonry,MODEL,Single Family
1,A0001,LOC00030,US,WTC,USD,FL,Florida,CNTY,Pinellas,27.9767,-82.6696,127195,5150,1051,6360,0,0,127195,0,MODEL,Reinforced Concrete,MODEL,Single Family
1,A0001,LOC00031,US,WTC,USD,FL,Florida,CNTY,Hillsborough,27.9621,-82.3092,2425673,5100,1055,48513,0,0,2425673,0,MODEL,Masonry,MODEL,Condo
1,A0001,LOC00032,US,WTC,USD,FL,Florida,CNTY,Monroe,24.8131,-81.0531,689105,5100,1055,34455,0,0,689105,0,MODEL,Masonry,MODEL,Condo
1,A0001,LOC00033,US,WTC,USD,FL,Florida,CNTY,Broward,26.2324,-80.0786,263746,5100,1051,5275,0,0,263746,0,MODEL,Masonry,MODEL,Single Family
1,A0001,LOC00034,US,WTC,USD,FL,Florida,CNTY,Broward,26.1441,-80.3452,985391,5100,1051,19708,0,0,985391,0,MODEL,Masonry,MODEL,Single Family
1,A0001,LOC00035,US,WTC,USD,FL,Florida,CNTY,Palm Beach,26.5771,-80.2666,617513,5100,1051,12350,0,0,617513,0,MODEL,Masonry,MODEL,Single Family
1,A0001,LOC00036,US,WTC,USD,FL,Florida,CNTY,Miami-Dade,25.5686,-80.3566,1790173,5150,1051,179017,0,0,1790173,0,MODEL,Reinforced Concrete,MODEL,Single Family
1,A0001,LOC00037,US,WTC,USD,FL,Florida,CNTY,Miami-Dade,25.6734,-80.3748,96015,5100,1051,4801,0,0,96015,0,MODEL,Masonry,MODEL,Single Family
1,A0001,LOC00038,US,WTC,USD,FL,Florida,CNTY,Palm Beach,26.6503,-80.3405,279285,5100,1055,27928,0,0,279285,0,MODEL,Masonry,MODEL,Condo
1,A0001,LOC00039,US,WTC,USD,FL,Florida,CNTY,Broward,26.184,-80.1877,237006,5350,1051,23701,0,0,237006,0,MODEL,Manufactured,MODEL,Mobile Home
1,A0001,LOC00040,US,WTC,USD,FL,Florida,CNTY,Pinellas,27.967,-82.7094,67354,5100,1051,6735,0,0,67354,0,MODEL,Masonry,MODEL,Single Family
1,A0001,LOC00041,US,WTC,USD,FL,Florida,CNTY,Palm Beach,26.6125,-80.3111,842134,5150,1051,16843,0,0,842134,0,MODEL,Reinforced Concrete,MODEL,Single Family
1,A0001,LOC00042,US,WTC,USD,FL,Florida,CNTY,Collier,26.1756,-81.4811,278116,5150,1051,27812,0,0,278116,0,MODEL,Reinforced Concrete,MODEL,Single Family
1,A0001,LOC00043,US,WTC,USD,FL,Florida,CNTY,Pinellas,27.9379,-82.6374,644801,5100,1051,64480,0,0,644801,0,MODEL,Masonry,MODEL,Single Family
1,A0001,LOC00044,US,WTC,USD,FL,Florida,CNTY,Broward,26.0265,-80.4265,2484429,5350,1051,248443,0,0,2484429,0,MODEL,Manufactured,MODEL,Mobile Home
1,A0001,LOC00045,US,WTC,USD,FL,Florida,CNTY,Collier,26.2442,-81.4223,259580,5100,1051,5192,0,0,259580,0,MODEL,Masonry,MODEL,Single Family
1,A0001,LOC00046,US,WTC,USD,FL,Florida,CNTY,Hillsborough,27.8999,-82.2341,245311,5050,1055,4906,0,0,245311,0,MODEL,Wood Frame,MODEL,Condo
1,A0001,LOC00047,US,WTC,USD,FL,Florida,CNTY,Palm Beach,26.4845,-80.201,384504,5100,1055,38450,0,0,384504,0,MODEL,Masonry,MODEL,Condo
1,A0001,LOC00048,US,WTC,USD,FL,Florida,CNTY,Broward,26.0455,-80.141,792424,5350,1051,15848,0,0,792424,0,MODEL,Manufactured,MODEL,Mobile Home
1,A0001,LOC00049,US,WTC,USD,FL,Florida,CNTY,Pinellas,27.7979,-82.6841,217313,5150,1051,10866,0,0,217313,0,MODEL,Reinforced Concrete,MODEL,Single Family
1,A0001,LOC00050,US,WTC,USD,FL,Florida,CNTY,Miami-Dade,25.6152,-80.4028,205994,5100,1051,10300,0,0,205994,0,MODEL,Masonry,MODEL,Single Family
1,A0001,LOC00051,US,WTC,USD,FL,Florida,CNTY,Miami-Dade,25.5826,-80.466,839937,5050,1055,16799,0,0,839937,0,MODEL,Wood Frame,MODEL,Condo
1,A0001,LOC00052,US,WTC,USD,FL,Florida,CNTY,Miami-Dade,25.5763,-80.3418,477420,5100,1055,9548,0,0,477420,0,MODEL,Masonry,MODEL,Condo
1,A0001,LOC00053,US,WTC,USD,FL,Florida,CNTY,Hillsborough,28.012,-82.2523,63485,5100,1051,6348,0,0,63485,0,MODEL,Masonry,MODEL,Single Family
1,A0001,LOC00054,US,WTC,USD,FL,Florida,CNTY,Pinellas,27.934,-82.6985,125581,5150,1055,12558,0,0,125581,0,MODEL,Reinforced Concrete,MODEL,Condo
1,A0001,LOC00055,US,WTC,USD,FL,Florida,CNTY,Pinellas,27.9316,-82.779,1215632,5050,1051,121563,0,0,1215632,0,MODEL,Wood Frame,MODEL,Single Family
1,A0001,LOC00056,US,WTC,USD,FL,Florida,CNTY,Hillsborough,27.991,-82.287,486767,5100,1051,9735,0,0,486767,0,MODEL,Masonry,MODEL,Single Family
1,A0001,LOC00057,US,WTC,USD,FL,Florida,CNTY,Palm Beach,26.7116,-80.207,184673,5100,1055,3693,0,0,184673,0,MODEL,Masonry,MODEL,Condo
1,A0001,LOC00058,US,WTC,USD,FL,Florida,CNTY,Lee,26.3392,-82.0333,302259,5150,1051,15113,0,0,302259,0,MODEL,Reinforced Concrete,MODEL,Single Family
1,A0001,LOC00059,US,WTC,USD,FL,Florida,CNTY,Miami-Dade,25.5736,-80.5472,352193,5050,1051,17610,0,0,352193,0,MODEL,Wood Frame,MODEL,Single Family
1,A0001,LOC00060,US,WTC,USD,FL,Florida,CNTY,Miami-Dade,25.392,-80.3435,642712,5350,1051,12854,0,0,642712,0,MODEL,Manufactured,MODEL,Mobile Home
1,A0001,LOC00061,US,WTC,USD,FL,Florida,CNTY,Pinellas,27.9036,-82.9602,112430,5150,1055,5622,0,0,112430,0,MODEL,Reinforced Concrete,MODEL,Condo
1,A0001,LOC00062,US,WTC,USD,FL,Florida,CNTY,Palm Beach,26.6495,-80.1795,172954,5100,1055,17295,0,0,172954,0,MODEL,Masonry,MODEL,Condo
1,A0001,LOC00063,US,WTC,USD,FL,Florida,CNTY,Lee,26.6546,-81.9478,437208,5100,1051,21860,0,0,437208,0,MODEL,Masonry,MODEL,Single Family
1,A0001,LOC00064,US,WTC,USD,FL,Florida,CNTY,Hillsborough,28.0688,-82.1692,320551,5350,1051,16028,0,0,320551,0,MODEL,Manufactured,MODEL,Mobile Home
1,A0001,LOC00065,US,WTC,USD,FL,Florida,CNTY,Pinellas,27.9203,-82.7493,560743,5050,1051,28037,0,0,560743,0,MODEL,Wood Frame,MODEL,Single Family
1,A0001,LOC00066,US,WTC,USD,FL,Florida,CNTY,Lee,26.5,-81.8341,125152,5100,1051,2503,0,0,125152,0,MODEL,Masonry,MODEL,Single Family
1,A0001,LOC00067,US,WTC,USD,FL,Florida,CNTY,Lee,26.5985,-81.9397,468946,5100,1051,9379,0,0,468946,0,MODEL,Masonry,MODEL,Single Family
1,A0001,LOC00068,US,WTC,USD,FL,Florida,CNTY,Broward,26.0972,-80.2886,864336,5100,1055,43217,0,0,864336,0,MODEL,Masonry,MODEL,Condo
1,A0001,LOC00069,US,WTC,USD,FL,Florida,CNTY,Miami-Dade,25.6099,-80.3263,522415,5350,1051,26121,0,0,522415,0,MODEL,Manufactured,MODEL,Mobile Home
1,A0001,LOC00070,US,WTC,USD,FL,Florida,CNTY,Palm Beach,26.7486,-80.2463,391105,5100,1055,19555,0,0,391105,0,MODEL,Masonry,MODEL,Condo
1,A0001,LOC00071,US,WTC,USD,FL,Florida,CNTY,Miami-Dade,25.5542,-80.3003,321607,5100,1051,32161,0,0,321607,0,MODEL,Masonry,MODEL,Single Family
1,A0001,LOC00072,US,WTC,USD,FL,Florida,CNTY,Palm Beach,26.7306,-80.2994,173834,5100,1051,3477,0,0,173834,0,MODEL,Masonry,MODEL,Single Family
1,A0001,LOC00073,US,WTC,USD,FL,Florida,CNTY,Collier,26.1677,-81.5705,328066,5050,1051,6561,0,0,328066,0,MODEL,Wood Frame,MODEL,Single Family
1,A0001,LOC00074,US,WTC,USD,FL,Florida,CNTY,Broward,26.0545,-80.2077,994194,5100,1051,19884,0,0,994194,0,MODEL,Masonry,MODEL,Single Family
1,A0001,LOC00075,US,WTC,USD,FL,Florida,CNTY,Miami-Dade,25.7074,-80.334,315469,5050,1051,6309,0,0,315469,0,MODEL,Wood Frame,MODEL,Single Family
1,A0001,LOC00076,US,WTC,USD,FL,Florida,CNTY,Broward,26.2199,-80.1084,166060,5150,1051,8303,0,0,166060,0,MODEL,Reinforced Concrete,MODEL,Single Family
1,A0001,LOC00077,US,WTC,USD,FL,Florida,CNTY,Broward,26.1602,-80.3763,231212,5150,1055,23121,0,0,231212,0,MODEL,Reinforced Concrete,MODEL,Condo
1,A0001,LOC00078,US,WTC,USD,FL,Florida,CNTY,Pinellas,27.8238,-82.8379,411734,5100,1055,41173,0,0,411734,0,MODEL,Masonry,MODEL,Condo
1,A0001,LOC00079,US,WTC,USD,FL,Florida,CNTY,Lee,26.4641,-81.9994,255236,5050,1055,12762,0,0,255236,0,MODEL,Wood Frame,MODEL,Condo
1,A0001,LOC00080,US,WTC,USD,FL,Florida,CNTY,Hillsborough,27.8962,-82.234,521756,5050,1051,26088,0,0,521756,0,MODEL,Wood Frame,MODEL,Single Family
1,A0001,LOC00081,US,WTC,USD,FL,Florida,CNTY,Pinellas,27.9543,-82.6502,538321,5100,1051,10766,0,0,538321,0,MODEL,Masonry,MODEL,Single Family
1,A0001,LOC00082,US,WTC,USD,FL,Florida,CNTY,Palm Beach,26.5544,-80.1898,730176,5150,1051,36509,0,0,730176,0,MODEL,Reinforced Concrete,MODEL,Single Family
1,A0001,LOC00083,US,WTC,USD,FL,Florida,CNTY,Hillsborough,27.9938,-82.4123,1139506,5100,1051,56975,0,0,1139506,0,MODEL,Masonry,MODEL,Single Family
1,A0001,LOC00084,US,WTC,USD,FL,Florida,CNTY,Miami-Dade,25.4858,-80.3233,798125,5050,1051,79812,0,0,798125,0,MODEL,Wood Frame,MODEL,Single Family
1,A0001,LOC00085,US,WTC,USD,FL,Florida,CNTY,Miami-Dade,25.5896,-80.5225,160029,5050,1051,8001,0,0,160029,0,MODEL,Wood Frame,MODEL,Single Family
1,A0001,LOC00086,US,WTC,USD,FL,Florida,CNTY,Miami-Dade,25.621,-80.2841,164172,5050,1051,3283,0,0,164172,0,MODEL,Wood Frame,MODEL,Single Family
1,A0001,LOC00087,US,WTC,USD,FL,Florida,CNTY,Hillsborough,28.1945,-82.0143,327038,5150,1055,6541,0,0,327038,0,MODEL,Reinforced Concrete,MODEL,Condo
1,A0001,LOC00088,US,WTC,USD,FL,Florida,CNTY,Palm Beach,26.5123,-80.1634,239255,5100,1051,4785,0,0,239255,0,MODEL,Masonry,MODEL,Single Family
1,A0001,LOC00089,US,WTC,USD,FL,Florida,CNTY,Miami-Dade,25.7572,-80.3417,135022,5100,1051,13502,0,0,135022,0,MODEL,Masonry,MODEL,Single Family
1,A0001,LOC00090,US,WTC,USD,FL,Florida,CNTY,Palm Beach,26.665,-80.2493,241152,5100,1051,4823,0,0,241152,0,MODEL,Masonry,MODEL,Single Family
1,A0001,LOC00091,US,WTC,USD,FL,Florida,CNTY,Miami-Dade,25.6511,-80.581,234651,5150,1051,4693,0,0,234651,0,MODEL,Reinforced Concrete,MODEL,Single Family
1,A0001,LOC00092,US,WTC,USD,FL,Florida,CNTY,Pinellas,27.9118,-82.7603,199100,5100,1051,3982,0,0,199100,0,MODEL,Masonry,MODEL,Single Family
1,A0001,LOC00093,US,WTC,USD,FL,Florida,CNTY,Palm Beach,26.6945,-80.3093,267802,5150,1051,26780,0,0,267802,0,MODEL,Reinforced Concrete,MODEL,Single Family
1,A0001,LOC00094,US,WTC,USD,FL,Florida,CNTY,Palm Beach,26.6346,-80.3447,929162,5150,1051,46458,0,0,929162,0,MODEL,Reinforced Concrete,MODEL,Single Family
1,A0001,LOC00095,US,WTC,USD,FL,Florida,CNTY,Broward,26.2954,-80.1278,411182,5100,1051,20559,0,0,411182,0,MODEL,Masonry,MODEL,Single Family
1,A0001,LOC00096,US,WTC,USD,FL,Florida,CNTY,Pinellas,27.8544,-82.6727,2727321,5350,1051,136366,0,0,2727321,0,MODEL,Manufactured,MODEL,Mobile Home
1,A0001,LOC00097,US,WTC,USD,FL,Florida,CNTY,Broward,26.2632,-80.262,401463,5150,1051,8029,0,0,401463,0,MODEL,Reinforced Concrete,MODEL,Single Family
1,A0001,LOC00098,US,WTC,USD,FL,Florida,CNTY,Miami-Dade,25.5456,-80.4309,273599,5100,1051,27360,0,0,273599,0,MODEL,Masonry,MODEL,Single Family
1,A0001,LOC00099,US,WTC,USD,FL,Florida,CNTY,Miami-Dade,25.604,-80.4173,349534,5100,1051,6991,0,0,349534,0,MODEL,Masonry,MODEL,Single Family
1,A0001,LOC00100,US,WTC,USD,FL,Florida,CNTY,Monroe,24.6928,-80.9035,431256,5050,1051,8625,0,0,431256,0,MODEL,Wood Frame,MODEL,Single Family
1,A0001,LOC00101,US,WTC,USD,FL,Florida,CNTY,Collier,26.1455,-81.6032,500462,5100,1051,25023,0,0,500462,0,MODEL,Masonry,MODEL,Single Family
1,A0001,LOC00102,US,WTC,USD,FL,Florida,CNTY,Pinellas,28.0445,-82.6469,1962814,5050,1055,39256,0,0,1962814,0,MODEL,Wood Frame,MODEL,Condo
1,A0001,LOC00103,US,WTC,USD,FL,Florida,CNTY,Broward,26.1423,-80.3196,172325,5050,1051,3446,0,0,172325,0,MODEL,Wood Frame,MODEL,Single Family
1,A0001,LOC00104,US,WTC,USD,FL,Florida,CNTY,Monroe,24.7803,-81.0342,712202,5050,1051,71220,0,0,712202,0,MODEL,Wood Frame,MODEL,Single Family
1,A0001,LOC00105,US,WTC,USD,FL,Florida,CNTY,Hillsborough,27.8385,-82.4407,414106,5100,1051,20705,0,0,414106,0,MODEL,Masonry,MODEL,Single Family
1,A0001,LOC00106,US,WTC,USD,FL,Florida,CNTY,Pinellas,27.8771,-82.8978,94173,5100,1051,1883,0,0,94173,0,MODEL,Masonry,MODEL,Single Family
1,A0001,LOC00107,US,WTC,USD,FL,Florida,CNTY,Palm Beach,26.4907,-80.2262,661697,5100,1051,33085,0,0,661697,0,MODEL,Masonry,MODEL,Single Family
1,A0001,LOC00108,US,WTC,USD,FL,Florida,CNTY,Broward,26.0587,-80.2944,1000770,5100,1051,50038,0,0,1000770,0,MODEL,Masonry,MODEL,Single Family
1,A0001,LOC00109,US,WTC,USD,FL,Florida,CNTY,Miami-Dade,25.6327,-80.5286,170633,5150,1051,3413,0,0,170633,0,MODEL,Reinforced Concrete,MODEL,Single Family
1,A0001,LOC00110,US,WTC,USD,FL,Florida,CNTY,Collier,26.2319,-81.6034,345752,5350,1051,6915,0,0,345752,0,MODEL,Manufactured,MODEL,Mobile Home
1,A0001,LOC00111,US,WTC,USD,FL,Florida,CNTY,Palm Beach,26.9309,-80.1946,82823,5150,1055,4141,0,0,82823,0,MODEL,Reinforced Concrete,MODEL,Condo
1,A0001,LOC00112,US,WTC,USD,FL,Florida,CNTY,Miami-Dade,25.5513,-80.6156,122136,5350,1051,6107,0,0,122136,0,MODEL,Manufactured,MODEL,Mobile Home
1,A0001,LOC00113,US,WTC,USD,FL,Florida,CNTY,Broward,26.2935,-80.3915,833556,5050,1051,83356,0,0,833556,0,MODEL,Wood Frame,MODEL,Single Family
1,A0001,LOC00114,US,WTC,USD,FL,Florida,CNTY,Lee,26.5744,-81.8593,236238,5100,1055,11812,0,0,236238,0,MODEL,Masonry,MODEL,Condo
1,A0001,LOC00115,US,WTC,USD,FL,Florida,CNTY,Miami-Dade,25.5949,-80.3613,138382,5100,1051,2768,0,0,138382,0,MODEL,Masonry,MODEL,Single Family
1,A0001,LOC00116,US,WTC,USD,FL,Florida,CNTY,Collier,26.1433,-81.7154,421659,5100,1051,21083,0,0,421659,0,MODEL,Masonry,MODEL,Single Family
1,A0001,LOC00117,US,WTC,USD,FL,Florida,CNTY,Hillsborough,27.9562,-82.2842,225478,5350,1051,11274,0,0,225478,0,MODEL,Manufactured,MODEL,Mobile Home
1,A0001,LOC00118,US,WTC,USD,FL,Florida,CNTY,Pinellas,27.911,-82.5978,235374,5100,1051,4707,0,0,235374,0,MODEL,Masonry,MODEL,Single Family
1,A0001,LOC00119,US,WTC,USD,FL,Florida,CNTY,Palm Beach,26.6092,-80.1223,644638,5100,1055,32232,0,0,644638,0,MODEL,Masonry,MODEL,Condo
1,A0001,LOC00120,US,WTC,USD,FL,Florida,CNTY,Pinellas,27.7602,-82.7095,132417,5050,1055,2648,0,0,132417,0,MODEL,Wood Frame,MODEL,Condo
1,A0001,LOC00121,US,WTC,USD,FL,Florida,CNTY,Lee,26.3956,-81.9468,163922,5100,1051,16392,0,0,163922,0,MODEL,Masonry,MODEL,Single Family
1,A0001,LOC00122,US,WTC,USD,FL,Florida,CNTY,Pinellas,27.9653,-82.7629,396010,5100,1055,39601,0,0,396010,0,MODEL,Masonry,MODEL,Condo
1,A0001,LOC00123,US,WTC,USD,FL,Florida,CNTY,Miami-Dade,25.5823,-80.3532,780743,5100,1051,39037,0,0,780743,0,MODEL,Masonry,MODEL,Single Family
1,A0001,LOC00124,US,WTC,USD,FL,Florida,CNTY,Palm Beach,26.5904,-80.1805,976520,5350,1051,97652,0,0,976520,0,MODEL,Manufactured,MODEL,Mobile Home
1,A0001,LOC00125,US,WTC,USD,FL,Florida,CNTY,Miami-Dade,25.6109,-80.3371,200228,5150,1055,20023,0,0,200228,0,MODEL,Reinforced Concrete,MODEL,Condo
1,A0001,LOC00126,US,WTC,USD,FL,Florida,CNTY,Palm Beach,26.7295,-80.1868,760196,5050,1051,15204,0,0,760196,0,MODEL,Wood Frame,MODEL,Single Family
1,A0001,LOC00127,US,WTC,USD,FL,Florida,CNTY,Broward,26.168,-80.2181,181330,5050,1051,9066,0,0,181330,0,MODEL,Wood Frame,MODEL,Single Family
1,A0001,LOC00128,US,WTC,USD,FL,Florida,CNTY,Miami-Dade,25.5444,-80.3905,1593324,5050,1051,79666,0,0,1593324,0,MODEL,Wood Frame,MODEL,Single Family
1,A0001,LOC00129,US,WTC,USD,FL,Florida,CNTY,Miami-Dade,25.7326,-80.3215,135535,5050,1051,2711,0,0,135535,0,MODEL,Wood Frame,MODEL,Single Family
1,A0001,LOC00130,US,WTC,USD,FL,Florida,CNTY,Lee,26.7079,-81.8129,1052781,5050,1051,52639,0,0,1052781,0,MODEL,Wood Frame,MODEL,Single Family
1,A0001,LOC00131,US,WTC,USD,FL,Florida,CNTY,Miami-Dade,25.6595,-80.4805,201663,5100,1055,4033,0,0,201663,0,MODEL,Masonry,MODEL,Condo
1,A0001,LOC00132,US,WTC,USD,FL,Florida,CNTY,Monroe,24.8974,-81.1808,1861795,5100,1051,186180,0,0,1861795,0,MODEL,Masonry,MODEL,Single Family
1,A0001,LOC00133,US,WTC,USD,FL,Florida,CNTY,Lee,26.6742,-81.7457,569903,5100,1055,28495,0,0,569903,0,MODEL,Masonry,MODEL,Condo
1,A0001,LOC00134,US,WTC,USD,FL,Florida,CNTY,Broward,26.263,-80.2743,149496,5100,1051,7475,0,0,149496,0,MODEL,Masonry,MODEL,Single Family
1,A0001,LOC00135,US,WTC,USD,FL,Florida,CNTY,Lee,26.6114,-82.0714,225511,5050,1051,11276,0,0,225511,0,MODEL,Wood Frame,MODEL,Single Family
1,A0001,LOC00136,US,WTC,USD,FL,Florida,CNTY,Miami-Dade,25.6698,-80.4714,667497,5100,1051,13350,0,0,667497,0,MODEL,Masonry,MODEL,Single Family
1,A0001,LOC00137,US,WTC,USD,FL,Florida,CNTY,Monroe,24.852,-80.9228,836765,5050,1055,83676,0,0,836765,0,MODEL,Wood Frame,MODEL,Condo
1,A0001,LOC00138,US,WTC,USD,FL,Florida,CNTY,Palm Beach,26.5403,-80.228,328417,5150,1051,6568,0,0,328417,0,MODEL,Reinforced Concrete,MODEL,Single Family
1,A0001,LOC00139,US,WTC,USD,FL,Florida,CNTY,Hillsborough,28.0201,-82.3512,361528,5050,1051,7231,0,0,361528,0,MODEL,Wood Frame,MODEL,Single Family
1,A0001,LOC00140,US,WTC,USD,FL,Florida,CNTY,Miami-Dade,25.4744,-80.2599,654931,5100,1051,32747,0,0,654931,0,MODEL,Masonry,MODEL,Single Family
1,A0001,LOC00141,US,WTC,USD,FL,Florida,CNTY,Palm Beach,26.5705,-80.3047,388731,5150,1055,19437,0,0,388731,0,MODEL,Reinforced Concrete,MODEL,Condo
1,A0001,LOC00142,US,WTC,USD,FL,Florida,CNTY,Palm Beach,26.7804,-80.2798,118658,5100,1051,5933,0,0,118658,0,MODEL,Masonry,MODEL,Single Family
1,A0001,LOC00143,US,WTC,USD,FL,Florida,CNTY,Monroe,24.884,-80.9789,177029,5100,1051,3541,0,0,177029,0,MODEL,Masonry,MODEL,Single Family
1,A0001,LOC00144,US,WTC,USD,FL,Florida,CNTY,Lee,26.6987,-81.861,423651,5100,1055,21183,0,0,423651,0,MODEL,Masonry,MODEL,Condo
1,A0001,LOC00145,US,WTC,USD,FL,Florida,CNTY,Palm Beach,26.6228,-80.1504,958255,5050,1055,19165,0,0,958255,0,MODEL,Wood Frame,MODEL,Condo
1,A0001,LOC00146,US,WTC,USD,FL,Florida,CNTY,Broward,26.0348,-80.2089,1337493,5100,1051,26750,0,0,1337493,0,MODEL,Masonry,MODEL,Single Family
1,A0001,LOC00147,US,WTC,USD,FL,Florida,CNTY,Broward,26.126,-80.2801,666580,5150,1051,33329,0,0,666580,0,MODEL,Reinforced Concrete,MODEL,Single Family
